Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,86.7791,-134.62,180,top
C2,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.8327,-127.3048,180,top
C4,.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.182791,-109.728,180,top
C5,.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.1865,-171.069,90,top
C6,.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,89.272,-161.7345,0,top
C7,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,89.281,-164.211,0,top
D1,1N4148,D_SOD-323_HandSoldering,80.7085,-145.796,90,top
D2,MBRS130LT3,D_SMB,95.3135,-144.526,180,top
D4,LED_W,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,82.999998,-150.581683,90,top
D5,LED_G,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,81.8515,-166.1287,270,top
D6,LED_R,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,81.8515,-170.0657,90,top
D7,MBRS130LT3,D_SMB,83.312,-90.17,270,top
D8,MBRS130LT3,D_SMB,102.616,-149.19707,90,top
IC1,DW01,SOT-23-6_Handsoldering,84.963,-159.7025,0,top
Q1,TSM2301ACX,SOT-23_Handsoldering,88.981867,-145.446674,90,top
Q3,TSM2301ACX,SOT-23_Handsoldering,94.2975,-148.844,180,top
R1,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,85.158998,-150.581683,90,top
R2,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,87.63,-150.622,90,top
R3,100k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.2345,-148.844,270,top
R4,4.7k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.2646,-112.1664,180,top
R5,4.7k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.2646,-114.4524,0,top
R6,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.2646,-116.7384,0,top
R7,470k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.2646,-119.0244,0,top
R8,200k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.2646,-121.3104,0,top
R9,300R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,80.713998,-150.581683,90,top
R10,330k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.2646,-123.5964,180,top
R11,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.2646,-125.8824,0,top
R12,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.947,-166.1287,90,top
R13,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.947,-170.0657,90,top
R14,1.2k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.1865,-166.243,270,top
R15,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,94.168086,-163.170586,0,top
R16,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.3755,-162.814,0,top
R18,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,75.946,-89.408,90,top
T1,FS8205,SOT-23-6_Handsoldering,93.98,-160.02,180,top
U2,TPS3839G33DBZ,SOT-23_Handsoldering,83.2866,-123.3932,0,top
U4,TP4056,TP4056_SOIC-8,89.0905,-168.7195,90,top
VR1,XC6203P332PR_NB,SOT-89-3_Handsoldering,83.693,-131.064,0,top
