Comment,Designator,Footprint,LCSC,
1uF,"C1,C2",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28323,
.1uF,"C4,C5,C6",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C49678,
10uF,C7,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C15850,
1N4148,D1,Diode_SMD:D_SOD-323_HandSoldering,C2128,
LED_W,D4,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C34499,
LED_G,D5,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,
LED_R,D6,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256,
MBRS130LT3,"D2,D7,D8",Diode_SMD:D_SMB,C51771,extended part
DW01,IC1,Package_TO_SOT_SMD:SOT-23-6_Handsoldering,C14213,
TSM2301ACX,"Q1,Q3",Package_TO_SOT_SMD:SOT-23_Handsoldering,C557549,extended part
330k,R10,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17629,
1k,"R12,R13,R15",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17513,
1.2k,R14,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17379,
100,R16,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17408,
100k,R3,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17407,
4.7k,"R4,R5",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17673,
10k,"R1,R2,R6,R11,R18",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17414,
470k,R7,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17709,
200k,R8,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17539,
300R,R9,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17471,
FS8205,T1,Package_TO_SOT_SMD:SOT-23-6_Handsoldering,C32254,
TPS3839G33DBZ,U2,Package_TO_SOT_SMD:SOT-23_Handsoldering,C485802,extended part
TP4056,U4,my library:TP4056_SOIC-8,C16581,
XC6203P332PR_NB,VR1,Package_TO_SOT_SMD:SOT-89-3_Handsoldering,C190503,extended part
